### HIKE2

<<< SKYBOX
tex: data/Skybox/Night.png
>>>

<<< PLAYER
p: (27.293039,165.099976,304.514954)
>>>

<<< LStatics
--- BLOCKLARGE
p: (18.388519,0.000000,240.794952)
r: (0.000000,0.000000,1.000000)
--- BLOCKUNIT
p: (27.875366,141.000000,66.245728)
r: (0.000000,0.000000,1.000000)
--- BLOCKUNIT
p: (85.886292,155.000000,13.970276)
r: (0.000000,0.000000,1.000000)
--- BLOCKLONG
p: (293.032166,358.000000,62.945572)
r: (-0.999784,0.000000,0.020795)
--- BLOCKLARGE
p: (149.809937,140.000000,-5.454933)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (192.557922,182.000000,-25.695679)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (-6.001129,46.000000,220.608887)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (295.215637,373.000000,2.738831)
r: (0.620986,0.000000,0.783821)
--- ROCK
p: (165.135590,177.000000,29.076218)
r: (-0.556361,0.000000,0.830940)
--- ROCK
p: (158.942963,177.000000,-74.484528)
r: (-0.589144,0.000000,0.808028)
--- ROCK
p: (86.432739,196.000000,11.513733)
r: (0.285952,0.000000,0.958244)
--- ROCK
p: (307.865967,369.000000,124.546204)
r: (0.819191,0.000000,0.573520)
--- ROCK
p: (-12.970184,38.000000,169.657806)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (96.701874,43.000000,301.436737)
r: (-0.620986,0.000000,0.783821)
--- ROCK
p: (94.038086,35.000000,247.461548)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (45.816925,183.000000,81.201752)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (91.909363,43.999985,161.469177)
r: (-0.651834,0.000000,0.758362)
--- WEED
p: (89.146393,62.000000,300.680420)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (-14.542297,44.000000,299.379333)
r: (0.985450,0.000000,0.169967)
--- JEWEL
p: (296.167755,376.000000,120.355652)
r: (0.000000,0.000000,1.000000)
scene: WIN
>>>

<<< LDinamics
--- BOX
p: (-48.495193,166.339752,306.652832)
--- BOX
p: (-47.978012,199.222122,306.811066)
--- BOX
p: (92.584229,306.690216,-70.808418)
--- BOX
p: (206.942596,306.766266,-68.399460)
--- BOX
p: (210.926086,307.334900,64.437088)
>>>

