### JUMP1

<<< SKYBOX
tex: data/Skybox/Night.png
>>>

<<< PLAYER
p: (-273.371552,165.386932,33.955742)
>>>

<<< LStatics
--- BLOCKLARGE
p: (-193.832825,0.000000,15.780289)
r: (0.000000,0.000000,1.000000)
--- BLOCKLONG
p: (98.743431,0.000000,20.887253)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (-186.404816,42.000000,-6.469841)
r: (-0.688921,0.000000,0.724836)
--- MUSHROOM
p: (-251.314331,41.000015,83.049507)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (-119.137146,40.000000,83.317940)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (-272.208801,43.000000,-48.560066)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (-197.533752,44.000000,67.645432)
r: (0.836026,0.000000,0.548690)
--- ROCK
p: (-244.566193,48.000000,-52.120346)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (-149.858887,44.000000,-58.250702)
r: (0.532535,0.000000,-0.846408)
--- WEED
p: (164.499023,27.000000,29.402527)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (60.270569,27.000000,39.376511)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (91.590057,25.000000,-4.500898)
r: (-0.966185,0.000000,0.257850)
--- WEED
p: (22.015900,24.999985,5.149368)
r: (-0.674288,0.000000,0.738469)
--- JEWEL
p: (168.562546,18.000004,23.015381)
r: (0.000000,0.000000,1.000000)
scene: JUMP2
>>>

<<< LDinamics
--- BOX
p: (-49.195293,221.182922,28.645710)
>>>

