### SAW1

<<< SKYBOX
tex: data/Skybox/Night.png
>>>

<<< PLAYER
p: (34.331402,117.099998,31.346865)
>>>

<<< LStatics
--- BLOCKLONG
p: (253.871384,0.000000,181.117142)
r: (0.000000,0.000000,1.000000)
--- BLOCKLONG
p: (438.962463,0.000000,180.174911)
r: (0.000000,0.000000,1.000000)
--- BLOCKLONG
p: (630.204773,0.000000,179.815826)
r: (0.000000,0.000000,1.000000)
--- BLOCKLONG
p: (819.239563,0.000000,178.545807)
r: (0.000000,0.000000,1.000000)
--- BLOCKLONG
p: (1004.278320,0.000000,177.598419)
r: (0.000000,0.000000,1.000000)
--- BLOCKLARGE
p: (65.659126,-48.000000,28.304745)
r: (0.000000,0.000000,1.000000)
--- BLOCKLARGE
p: (518.549805,-16.000000,176.872574)
r: (0.000000,0.000000,1.000000)
--- BLOCKUNIT
p: (1179.736084,0.000000,176.161072)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (9.146729,-1.000000,54.999561)
r: (0.398609,0.000000,0.917121)
--- MUSHROOM
p: (577.220520,24.000000,133.393494)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (776.041870,29.000000,172.281342)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (132.021179,-5.000000,4.784302)
r: (0.407760,0.000000,0.913089)
--- MUSHROOM
p: (469.048492,28.000000,94.237534)
r: (0.993868,0.000000,0.110570)
--- MUSHROOM
p: (1179.819824,45.000000,151.412170)
r: (0.651834,0.000000,0.758362)
--- MUSHROOM
p: (376.599365,21.000000,180.820435)
r: (0.000000,0.000000,1.000000)
--- MUSHROOM
p: (507.845337,28.000000,222.146896)
r: (0.514136,0.000000,0.857709)
--- ROCK
p: (74.953850,0.000031,20.665985)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (102.038246,0.000000,-33.204346)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (6.659233,0.000000,-14.702667)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (217.113998,0.000000,175.946640)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (93.789490,0.000031,78.420441)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (26.770660,0.000000,96.105286)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (142.644302,0.000000,-36.341705)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (-3.954018,0.000000,-43.236603)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (134.620743,0.000031,54.491333)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (20.223602,0.000000,31.996429)
r: (0.000000,0.000000,1.000000)
--- ROCK
p: (1170.983521,49.000000,196.331024)
r: (0.514136,0.000000,0.857709)
--- ROCK
p: (569.393921,28.000000,250.732391)
r: (0.461779,0.000000,0.886995)
--- ROCK
p: (440.003113,27.000000,112.105743)
r: (0.198669,0.000000,0.980067)
--- WEED
p: (462.510162,31.000000,249.706329)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (502.789612,30.000000,122.977722)
r: (0.000000,0.000000,1.000000)
--- WEED
p: (264.653442,26.000000,196.226898)
r: (0.000000,0.000000,1.000000)
--- JEWEL
p: (1202.843506,35.000000,177.955246)
r: (0.000000,0.000000,1.000000)
scene: SAW2
>>>

<<< LDinamics
--- SAW
p: (620.869019,36.000000,195.811172)
r: (0.000000,0.000000,1.000000)
rad: 420.000000
vel: 1320.000000
--- SAW
p: (622.805847,36.000000,172.410339)
r: (0.000000,0.000000,1.000000)
rad: 420.000000
vel: 1320.000000
>>>

