### HUB

<<< SKYBOX
tex: data/Skybox/Night.png
>>>

<<< PLAYER
p: (-80.665390,165.100021,-49.294174)
>>>

<<< LStatics
--- BLOCKLARGE
p: (-68.531906,0.000000,34.690628)
r: (0.000000,0.000000,1.000000)
--- BLOCKLARGE
p: (99.650734,0.000000,64.956894)
r: (0.000000,0.000000,1.000000)
--- BLOCKLARGE
p: (76.806244,0.000000,-110.260773)
r: (0.000000,0.000000,1.000000)
--- BLOCKLARGE
p: (-97.838440,-0.000031,-92.031586)
r: (0.000000,0.000000,1.000000)
--- BLOCKUNIT
p: (-34.522015,0.000000,-307.933075)
r: (0.000000,0.000000,1.000000)
--- BLOCKUNIT
p: (274.401306,66.000031,119.343056)
r: (0.000000,0.000000,1.000000)
--- BLOCKUNIT
p: (-150.433090,-0.000031,223.328461)
r: (0.000000,0.000000,1.000000)
--- JEWEL
p: (297.365234,101.000000,123.856873)
r: (0.000000,0.000000,1.000000)
scene: JUMP1
--- JEWEL
p: (-151.932098,35.000000,246.311615)
r: (0.000000,0.000000,1.000000)
scene: SAW1
--- JEWEL
p: (-33.651062,35.000015,-327.273346)
r: (0.000000,0.000000,1.000000)
scene: HIKE1
>>>

<<< LDinamics
--- SAW
p: (-149.796280,55.000000,157.169739)
r: (0.000000,0.000000,1.000000)
rad: 100.000000
vel: 100.000000
--- BOX
p: (166.496338,165.100021,1.041781)
>>>

